0.2	0.229784
0.4	0.23684
0.6	0.242044
0.8	0.246051
1.	0.249237
1.2	0.251835
1.4	0.253995
1.6	0.255819
1.8	0.257377
2.	0.258719
2.2	0.259883
2.4	0.260893
2.6	0.261771
2.8	0.262531
3.	0.263186
3.2	0.263744
3.4	0.264214
3.6	0.264601
3.8	0.264911
4.	0.265147
4.2	0.265315
4.4	0.265417
4.6	0.265457
4.8	0.265438
5.	0.265363
5.2	0.265235
5.4	0.265056
5.6	0.264831
5.8	0.26456
6.	0.264247
6.2	0.263894
6.4	0.263504
6.6	0.263079
6.8	0.262622
7.	0.262134
7.2	0.261618
7.4	0.261077
7.6	0.260511
7.8	0.259923
8.	0.259314
8.2	0.258687
8.4	0.258044
8.6	0.257385
8.8	0.256712
9.	0.256026
9.2	0.25533
9.4	0.254624
9.6	0.253909
9.8	0.253187
10.	0.252458
10.2	0.251723
10.4	0.250984
10.6	0.250241
10.8	0.249496
11.	0.248748
11.2	0.247998
11.4	0.247248
11.6	0.246497
11.8	0.245747
12.	0.244997
12.2	0.244248
12.4	0.243502
12.6	0.242757
12.8	0.242015
13.	0.241275
13.2	0.240538
13.4	0.239805
13.6	0.239076
13.8	0.23835
14.	0.237629
14.2	0.236912
14.4	0.236199
14.6	0.235491
14.8	0.234787
15.	0.234089
15.2	0.233395
15.4	0.232707
15.6	0.232023
15.8	0.231345
16.	0.230673
16.2	0.230005
16.4	0.229343
16.6	0.228687
16.8	0.228036
17.	0.227391
17.2	0.226751
17.4	0.226117
17.6	0.225488
17.8	0.224865
18.	0.224247
18.2	0.223635
18.4	0.223028
18.6	0.222427
18.8	0.221832
19.	0.221242
19.2	0.220657
19.4	0.220078
19.6	0.219504
19.8	0.218936
20.	0.218372
