0.20	0.119	0.0004
0.40	0.158	0.0005
0.60	0.186	0.0006
0.80	0.209	0.0007
1.00	0.229	0.0008
1.20	0.246	0.0009
1.40	0.261	0.0010
1.60	0.274	0.0011
1.80	0.287	0.0012
2.00	0.299	0.0014
2.20	0.309	0.0015
2.40	0.319	0.0016
2.60	0.328	0.0018
2.80	0.337	0.0019
3.00	0.345	0.0021
3.20	0.352	0.0022
3.40	0.359	0.0024
3.60	0.366	0.0026
3.80	0.372	0.0028
4.00	0.377	0.0030
4.20	0.383	0.0032
4.40	0.387	0.0034
4.60	0.392	0.0036
4.80	0.396	0.0038
5.00	0.399	0.0041
5.20	0.403	0.0043
5.40	0.406	0.0045
5.60	0.409	0.0048
5.80	0.411	0.0050
6.00	0.413	0.0052
6.20	0.415	0.0055
6.40	0.417	0.0057
6.60	0.418	0.0059
6.80	0.419	0.0061
7.00	0.420	0.0064
7.20	0.421	0.0066
7.40	0.421	0.0068
7.60	0.421	0.0070
7.80	0.422	0.0072
8.00	0.421	0.0073
8.20	0.421	0.0075
8.40	0.421	0.0077
8.60	0.420	0.0078
8.80	0.419	0.0079
9.00	0.418	0.0081
9.20	0.417	0.0082
9.40	0.416	0.0082
9.60	0.415	0.0083
9.80	0.414	0.0084
10.00	0.412	0.0084
10.20	0.411	0.0084
10.40	0.409	0.0085
10.60	0.407	0.0084
10.80	0.405	0.0084
11.00	0.403	0.0084
11.20	0.401	0.0083
11.40	0.399	0.0083
11.60	0.397	0.0082
11.80	0.395	0.0081
12.00	0.393	0.0080
12.20	0.390	0.0079
12.40	0.388	0.0077
12.60	0.386	0.0076
12.80	0.383	0.0074
13.00	0.381	0.0073
13.20	0.378	0.0071
13.40	0.376	0.0069
13.60	0.374	0.0067
13.80	0.371	0.0066
14.00	0.369	0.0064
14.20	0.366	0.0062
14.40	0.364	0.0060
14.60	0.361	0.0058
14.80	0.359	0.0056
15.00	0.356	0.0054
15.20	0.354	0.0052
15.40	0.352	0.0050
15.60	0.349	0.0048
15.80	0.347	0.0046
16.00	0.344	0.0044
16.20	0.342	0.0042
16.40	0.340	0.0041
16.60	0.338	0.0039
16.80	0.335	0.0037
17.00	0.333	0.0036
17.20	0.331	0.0034
17.40	0.329	0.0033
17.60	0.327	0.0031
17.80	0.325	0.0030
18.00	0.323	0.0028
18.20	0.321	0.0027
18.40	0.319	0.0026
18.60	0.317	0.0025
18.80	0.315	0.0024
19.00	0.313	0.0023
19.20	0.311	0.0022
19.40	0.309	0.0021
19.60	0.308	0.0020
19.80	0.306	0.0019
20.00	0.304	0.0019
