0.20	0.1053	0.0026
0.40	0.1650	0.0036
0.60	0.2096	0.0040
0.80	0.2442	0.0040
1.00	0.2718	0.0039
1.20	0.2945	0.0036
1.40	0.3134	0.0034
1.60	0.3294	0.0031
1.80	0.3433	0.0029
2.00	0.3554	0.0027
2.20	0.3661	0.0024
2.40	0.3756	0.0022
2.60	0.3842	0.0021
2.80	0.3921	0.0019
3.00	0.3992	0.0017
3.20	0.4057	0.0016
3.40	0.4117	0.0014
3.60	0.4172	0.0013
3.80	0.4223	0.0012
4.00	0.4269	0.0010
4.20	0.4312	0.00088
4.40	0.4351	0.00074
4.60	0.4387	0.00059
4.80	0.4419	0.00044
5.00	0.4449	0.00028
5.20	0.4475	0.00012
5.40	0.4498	0.000046
5.60	0.4519	0.00022
5.80	0.4536	0.00039
6.00	0.4551	0.00058
6.20	0.4563	0.00076
6.40	0.4573	0.00096
6.60	0.4580	0.0012
6.80	0.4585	0.0014
7.00	0.4587	0.0016
7.20	0.4587	0.0018
7.40	0.4586	0.0020
7.60	0.4582	0.0022
7.80	0.4576	0.0024
8.00	0.4568	0.0027
8.20	0.4558	0.0029
8.40	0.4547	0.0031
8.60	0.4534	0.0033
8.80	0.4520	0.0035
9.00	0.4504	0.0037
9.20	0.4487	0.0039
9.40	0.4469	0.0042
9.60	0.4449	0.0044
9.80	0.4429	0.0046
10.00	0.4407	0.0048
